rooms,sq_m,floor,floors_all,year,price,area1,area2,area3,area4,area5,area6,area7,area8
4,157.0,6.0,8.0,2016,147000000,0,0,1,0,0,0,0,0
1,30.0,1.0,2.0,1961,16900000,0,0,0,0,0,0,0,1
1,17.0,2.0,3.0,2015,9500000,0,0,0,1,0,0,0,0
3,91.0,2.0,6.0,1997,63950000,0,0,1,0,0,0,0,0
2,62.2,6.0,10.0,2021,34000000,0,0,0,0,0,1,0,0
1,24.0,2.0,3.0,1986,7000000,0,0,0,0,0,0,0,1
4,130.1,5.0,10.0,2021,67000000,0,0,1,0,0,0,0,0
3,95.0,9.0,13.0,2021,69990000,1,0,0,0,0,0,0,0
1,36.4,7.0,9.0,2021,20500000,0,0,0,0,1,0,0,0
1,49.0,2.0,9.0,2006,35100000,0,1,0,0,0,0,0,0
3,90.0,7.0,9.0,2017,48500000,0,0,0,0,0,0,0,0
2,60.8,17.0,18.0,2008,50500000,0,0,1,0,0,0,0,0
2,50.0,10.0,12.0,2007,30900000,0,1,0,0,0,0,0,0
1,44.5,4.0,12.0,1993,25000000,0,1,0,0,0,0,0,0
2,52.0,5.0,5.0,1987,31500000,0,1,0,0,0,0,0,0
1,16.0,3.0,5.0,1984,14000000,0,0,1,0,0,0,0,0
2,52.1,3.0,9.0,1972,37000000,1,0,0,0,0,0,0,0
3,115.0,13.0,15.0,2008,77000000,0,1,0,0,0,0,0,0
1,35.0,4.0,5.0,1980,26500000,0,0,1,0,0,0,0,0
3,60.0,5.0,5.0,1983,47000000,0,0,1,0,0,0,0,0
4,97.0,8.0,8.0,1975,79900000,0,0,0,0,1,0,0,0
3,91.7,13.0,18.0,2015,66500000,0,0,1,0,0,0,0,0
3,61.5,1.0,4.0,1971,36000000,0,0,1,0,0,0,0,0
2,48.0,9.0,9.0,1989,25000000,0,0,0,0,0,0,0,1
2,52.0,3.0,4.0,1961,30000000,0,0,1,0,0,0,0,0
2,35.0,2.0,5.0,2016,25500000,0,0,0,0,0,1,0,0
2,53.0,5.0,5.0,1984,43500000,0,0,1,0,0,0,0,0
2,45.3,1.0,5.0,1979,31000000,1,0,0,0,0,0,0,0
3,75.8,9.0,9.0,2013,35000000,0,0,0,0,0,0,0,0
3,70.0,9.0,9.0,1990,51000000,1,0,0,0,0,0,0,0
3,90.0,1.0,5.0,2014,40800000,0,0,0,0,0,0,0,0
3,70.0,1.0,9.0,1991,40000000,0,1,0,0,0,0,0,0
1,42.0,1.0,9.0,2017,23000000,0,0,0,0,0,0,0,0
3,63.0,2.0,4.0,1969,36000000,0,0,0,1,0,0,0,0
2,44.0,4.0,4.0,1964,22000000,0,0,0,0,1,0,0,0
3,75.0,5.0,5.0,2015,34700000,0,0,0,0,0,0,0,0
4,106.7,8.0,9.0,2015,70000000,0,1,0,0,0,0,0,0
1,47.0,10.0,10.0,2021,22000000,0,0,0,0,0,0,0,1
3,98.9,2.0,8.0,1971,67500000,0,0,0,0,1,0,0,0
2,68.1,4.0,4.0,1969,26000000,0,0,0,0,1,0,0,0
3,150.0,12.0,22.0,2008,130000000,0,0,0,0,1,0,0,0
3,125.9,16.0,17.0,2009,70000000,0,0,0,0,0,0,1,0
1,22.0,2.0,3.0,1979,16000000,0,0,0,1,0,0,0,0
3,100.0,11.0,25.0,2008,109000000,0,0,1,0,0,0,0,0
2,46.0,1.0,5.0,2018,24500000,0,0,0,0,0,0,0,0
1,52.0,6.0,6.0,1993,46000000,0,0,1,0,0,0,0,0
3,65.1,2.0,9.0,1980,42000000,1,0,0,0,0,0,0,0
2,54.0,1.0,12.0,1992,32000000,0,1,0,0,0,0,0,0
3,102.6,7.0,12.0,2019,100000000,0,0,1,0,0,0,0,0
2,57.0,2.0,7.0,2018,41000000,0,0,1,0,0,0,0,0
2,50.4,4.0,4.0,1969,31000000,0,0,1,0,0,0,0,0
1,32.0,3.0,5.0,1979,25400000,0,0,1,0,0,0,0,0
5,165.6,7.0,9.0,2020,135000000,0,0,1,0,0,0,0,0
3,84.0,2.0,13.0,2015,63500000,0,0,1,0,0,0,0,0
1,28.0,9.0,10.0,2021,19000000,0,0,0,0,0,0,0,1
2,47.8,3.0,4.0,2021,26000000,0,0,0,0,0,0,0,1
1,33.0,3.0,3.0,1970,17500000,0,0,0,0,0,0,0,1
3,63.0,4.0,13.0,2020,50500000,1,0,0,0,0,0,0,0
3,99.2,1.0,3.0,2021,110000000,0,0,1,0,0,0,0,0
3,87.6,4.0,6.0,2017,41000000,0,0,0,1,0,0,0,0
4,85.0,8.0,9.0,1991,76000000,0,0,0,0,1,0,0,0
1,50.0,7.0,7.0,2016,55000000,0,0,1,0,0,0,0,0
2,90.0,11.0,16.0,2008,54000000,0,1,0,0,0,0,0,0
2,75.0,10.0,18.0,2011,43500000,1,0,0,0,0,0,0,0
2,50.0,1.0,2.0,1964,32000000,0,0,0,0,1,0,0,0
2,51.0,6.0,8.0,2019,49700000,0,0,1,0,0,0,0,0
3,63.0,3.0,5.0,1978,40000000,1,0,0,0,0,0,0,0
1,42.0,4.0,5.0,1986,24000000,0,1,0,0,0,0,0,0
2,46.0,3.0,5.0,1983,30000000,1,0,0,0,0,0,0,0
3,107.0,6.0,13.0,2017,85000000,0,0,1,0,0,0,0,0
3,67.0,5.0,5.0,1976,35800000,0,0,1,0,0,0,0,0
3,70.0,1.0,5.0,1993,42000000,0,1,0,0,0,0,0,0
